"","S.No","ApparentPower","Type","solar","SolarPercent","WindPercent","Net","peak","dsm","current"
"14130",1,0.257420384,"Individual1",TRUE,0.0230338720604777,0,0.251490995809185,FALSE,0,1.09343911221385
"14131",2,0.816047903,"Individual1",FALSE,0,0,0.816047903,FALSE,0,3.54803436086956
"14132",3,0.967560201,"Individual1",FALSE,0,0,0.967560201,FALSE,0,4.20678348260869
"14133",4,0.832972434,"Individual1",FALSE,0,0,0.832972434,TRUE,0.0946118257241324,3.62161927826087
"14134",5,0.645394564,"Individual1",FALSE,0,0,0.645394564,TRUE,0.0250889768823981,2.80606332173913
"14135",6,0.886883917,"Individual1",FALSE,0,0,0.886883917,TRUE,0.0828178767347708,3.85601703043478
"14136",7,0.756260619,"Individual1",FALSE,0,0,0.756260619,TRUE,0.0227921923389658,3.28808964782609
"14137",8,0.367857031,"Individual1",FALSE,0,0,0.367857031,FALSE,0,1.59937839565217
"14138",9,0.832210416,"Individual1",FALSE,0,0,0.832210416,TRUE,0.0335825041169301,3.61830615652174
"14139",10,0.936237334,"Individual1",FALSE,0,0,0.936237334,TRUE,0.033248230884783,4.07059710434783
"14140",11,0.038583161,"Individual1",FALSE,0,0,0.038583161,FALSE,0,0.167752873913043
"14141",12,0.944021756,"Individual1",TRUE,0.393259576242417,0,0.572776160271818,FALSE,0,2.4903311316166
"14142",13,0.847043445,"Individual1",TRUE,0.194210543483496,0,0.682538677192417,FALSE,0,2.96755946605399
"14143",14,0.53336324,"Individual1",TRUE,0.0139593666419387,0,0.525917826979508,FALSE,0,2.28659924773699
"14144",15,0.540708043,"Individual1",TRUE,0.175315939262509,0,0.445913304574662,FALSE,0,1.9387534981507
"14145",16,0.181330181,"Individual1",TRUE,0.290688537899405,0,0.128619575808076,TRUE,0.0771395981544629,0.559215546991633
"14146",17,0.766804229,"Individual1",TRUE,0.0702434305101633,0,0.712941269425339,FALSE,0,3.09974464967539
"14147",18,0.41811887,"Individual1",TRUE,0.171338656265289,0,0.346478944655039,FALSE,0,1.50643019415234
"14148",19,0.165166938,"Individual1",TRUE,0.27410646295175,0,0.119893612828249,FALSE,0,0.521276577514126
"14149",20,0.412397632,"Individual1",TRUE,0.308774472214282,0,0.285059770836781,TRUE,0.0925692214164883,1.239390307986
