"","S.No","ApparentPower","Type","solar","SolarPercent","WindPercent","Net","peak","dsm"
"16274",1,0.757816632,"Individual4",FALSE,0,0,0.757816632,FALSE,0
"16275",2,0.031843812,"Individual4",FALSE,0,0,0.031843812,FALSE,0
"16276",3,0.196103002,"Individual4",FALSE,0,0,0.196103002,FALSE,0
"16277",4,0.765465014,"Individual4",FALSE,0,0,0.765465014,TRUE,0.0176207369426265
"16278",5,0.890013675,"Individual4",FALSE,0,0,0.890013675,TRUE,0.0888280667131767
"16279",6,0.648449775,"Individual4",FALSE,0,0,0.648449775,TRUE,0.0647757278289646
"16280",7,0.826141493,"Individual4",FALSE,0,0,0.826141493,TRUE,0.0678355149924755
"16281",8,0.473704347,"Individual4",FALSE,0,0,0.473704347,FALSE,0
"16282",9,0.739992057,"Individual4",FALSE,0,0,0.739992057,TRUE,0.0857838496332988
"16283",10,0.613025377,"Individual4",FALSE,0,0,0.613025377,TRUE,0.0446861948585138
"16284",11,0.238770492,"Individual4",FALSE,0,0,0.238770492,FALSE,0
"16285",12,0.386328689,"Individual4",FALSE,0,0,0.386328689,FALSE,0
"16286",13,0.153699977,"Individual4",FALSE,0,0,0.153699977,FALSE,0
"16287",14,0.094360314,"Individual4",FALSE,0,0,0.094360314,FALSE,0
"16288",15,0.431779557,"Individual4",FALSE,0,0,0.431779557,FALSE,0
"16289",16,0.348072382,"Individual4",FALSE,0,0,0.348072382,TRUE,0.0622442615451291
"16290",17,0.131365289,"Individual4",FALSE,0,0,0.131365289,FALSE,0
"16291",18,0.844663743,"Individual4",FALSE,0,0,0.844663743,FALSE,0
"16292",19,0.155843122,"Individual4",FALSE,0,0,0.155843122,FALSE,0
"16293",20,0.974882096,"Individual4",FALSE,0,0,0.974882096,TRUE,0.0649636362446472
"16294",21,0.775805141,"Individual4",FALSE,0,0,0.775805141,TRUE,0.0732268454274163
"16295",22,0.238618298,"Individual4",FALSE,0,0,0.238618298,FALSE,0
"16296",23,0.863985068,"Individual4",FALSE,0,0,0.863985068,FALSE,0
"16297",24,0.690983774,"Individual4",FALSE,0,0,0.690983774,FALSE,0
"16298",25,0.448077118,"Individual4",FALSE,0,0,0.448077118,FALSE,0
"16299",26,0.478356954,"Individual4",FALSE,0,0,0.478356954,FALSE,0
"16300",27,0.112591529,"Individual4",FALSE,0,0,0.112591529,FALSE,0
"16301",28,0.196432764,"Individual4",FALSE,0,0,0.196432764,FALSE,0
"16302",29,0.317610684,"Individual4",FALSE,0,0,0.317610684,TRUE,0.0238032100023702
"16303",30,0.147462168,"Individual4",FALSE,0,0,0.147462168,TRUE,0.00741156230214983
"16304",31,0.11295959,"Individual4",FALSE,0,0,0.11295959,FALSE,0
"16305",32,0.010490193,"Individual4",FALSE,0,0,0.010490193,FALSE,0
"16306",33,0.015639352,"Individual4",FALSE,0,0,0.015639352,FALSE,0
"16307",34,0.460412394,"Individual4",FALSE,0,0,0.460412394,FALSE,0
"16308",35,0.154745318,"Individual4",FALSE,0,0,0.154745318,FALSE,0
"16309",36,0.909091504,"Individual4",FALSE,0,0,0.909091504,TRUE,0.0354094172129408
"16310",37,0.57996547,"Individual4",FALSE,0,0,0.57996547,FALSE,0
"16311",38,0.390461906,"Individual4",FALSE,0,0,0.390461906,FALSE,0
"16312",39,0.474891964,"Individual4",FALSE,0,0,0.474891964,FALSE,0
"16313",40,0.134030487,"Individual4",FALSE,0,0,0.134030487,FALSE,0
"16314",41,0.281127916,"Individual4",FALSE,0,0,0.281127916,FALSE,0
"16315",42,0.030521282,"Individual4",FALSE,0,0,0.030521282,FALSE,0
"16316",43,0.8445694,"Individual4",FALSE,0,0,0.8445694,TRUE,0.048402592446655
"16317",44,0.916442296,"Individual4",FALSE,0,0,0.916442296,TRUE,0.0727496013743803
"16318",45,0.739892218,"Individual4",FALSE,0,0,0.739892218,TRUE,0.0791799682425335
"16319",46,0.497641363,"Individual4",FALSE,0,0,0.497641363,TRUE,0.0745471621630713
"16320",47,0.012304931,"Individual4",FALSE,0,0,0.012304931,TRUE,0.0649220191640779
"16321",48,0.643493892,"Individual4",FALSE,0,0,0.643493892,TRUE,0.088333494705148
"16322",49,0.98990678,"Individual4",FALSE,0,0,0.98990678,FALSE,0
"16323",50,0.986614472,"Individual4",FALSE,0,0,0.986614472,TRUE,0.0987717705080286
"16324",51,0.574723275,"Individual4",FALSE,0,0,0.574723275,FALSE,0
"16325",52,0.088589152,"Individual4",FALSE,0,0,0.088589152,TRUE,0.0314948592102155
"16326",53,0.914233145,"Individual4",FALSE,0,0,0.914233145,TRUE,0.0789314249996096
"16327",54,0.348691977,"Individual4",FALSE,0,0,0.348691977,FALSE,0
"16328",55,0.339191651,"Individual4",FALSE,0,0,0.339191651,FALSE,0
"16329",56,0.20466483,"Individual4",FALSE,0,0,0.20466483,TRUE,0.0816947306971997
"16330",57,0.914376257,"Individual4",FALSE,0,0,0.914376257,FALSE,0
"16331",58,0.678765946,"Individual4",FALSE,0,0,0.678765946,TRUE,0.0673048952594399
"16332",59,0.98900983,"Individual4",FALSE,0,0,0.98900983,FALSE,0
"16333",60,0.564063676,"Individual4",FALSE,0,0,0.564063676,TRUE,0.0747911637183279
"16334",61,0.435334624,"Individual4",FALSE,0,0,0.435334624,TRUE,0.030783339496702
"16335",62,0.642444294,"Individual4",FALSE,0,0,0.642444294,TRUE,0.0243893474340439
"16336",63,0.084364772,"Individual4",FALSE,0,0,0.084364772,TRUE,0.0135637562954798
"16337",64,0.788683168,"Individual4",FALSE,0,0,0.788683168,FALSE,0
"16338",65,0.527578246,"Individual4",FALSE,0,0,0.527578246,TRUE,0.00537169037852436
"16339",66,0.615396275,"Individual4",FALSE,0,0,0.615396275,FALSE,0
"16340",67,0.46289779,"Individual4",FALSE,0,0,0.46289779,TRUE,0.0933308189036325
"16341",68,0.768765797,"Individual4",FALSE,0,0,0.768765797,TRUE,0.0202568596461788
"16342",69,0.662854298,"Individual4",FALSE,0,0,0.662854298,TRUE,0.0708800655556843
"16343",70,0.275956269,"Individual4",FALSE,0,0,0.275956269,FALSE,0
"16344",71,0.030747786,"Individual4",FALSE,0,0,0.030747786,FALSE,0
"16345",72,0.502841706,"Individual4",FALSE,0,0,0.502841706,FALSE,0
"16346",73,0.594573171,"Individual4",FALSE,0,0,0.594573171,TRUE,0.0469731762772426
"16347",74,0.415261268,"Individual4",FALSE,0,0,0.415261268,TRUE,0.0473625669255853
"16348",75,0.779641607,"Individual4",FALSE,0,0,0.779641607,TRUE,0.0576911040348932
"16349",76,0.035284663,"Individual4",FALSE,0,0,0.035284663,FALSE,0
"16350",77,0.398913373,"Individual4",FALSE,0,0,0.398913373,FALSE,0
"16351",78,0.367601749,"Individual4",FALSE,0,0,0.367601749,TRUE,0.0343905424466357
"16352",79,0.671457305,"Individual4",FALSE,0,0,0.671457305,TRUE,0.0549942439189181
"16353",80,0.182673946,"Individual4",FALSE,0,0,0.182673946,FALSE,0
"16354",81,0.438255175,"Individual4",FALSE,0,0,0.438255175,FALSE,0
"16355",82,0.571046617,"Individual4",FALSE,0,0,0.571046617,FALSE,0
"16356",83,0.078216244,"Individual4",FALSE,0,0,0.078216244,FALSE,0
"16357",84,0.984827197,"Individual4",FALSE,0,0,0.984827197,TRUE,0.0502725657308474
"16358",85,0.572225279,"Individual4",FALSE,0,0,0.572225279,TRUE,0.0452690387610346
"16359",86,0.614217263,"Individual4",FALSE,0,0,0.614217263,FALSE,0
"16360",87,0.979639717,"Individual4",FALSE,0,0,0.979639717,TRUE,0.0954963574651629
"16361",88,0.463231735,"Individual4",FALSE,0,0,0.463231735,TRUE,0.0263041651109234
"16362",89,0.76266523,"Individual4",FALSE,0,0,0.76266523,TRUE,0.0393161424668506
"16363",90,0.426122514,"Individual4",FALSE,0,0,0.426122514,FALSE,0
"16364",91,0.147296482,"Individual4",FALSE,0,0,0.147296482,FALSE,0
"16365",92,0.101395382,"Individual4",FALSE,0,0,0.101395382,FALSE,0
"16366",93,0.701954806,"Individual4",FALSE,0,0,0.701954806,TRUE,0.0144895946839824
"16367",94,0.407941679,"Individual4",FALSE,0,0,0.407941679,TRUE,0.0381576893851161
"16368",95,0.320351875,"Individual4",FALSE,0,0,0.320351875,FALSE,0
"16369",96,0.547943335,"Individual4",FALSE,0,0,0.547943335,TRUE,0.0261334710521623
"16370",97,0.128131952,"Individual4",FALSE,0,0,0.128131952,FALSE,0
"16371",98,0.358521282,"Individual4",FALSE,0,0,0.358521282,TRUE,0.001331229461357
"16372",99,0.359454581,"Individual4",FALSE,0,0,0.359454581,FALSE,0
"16373",100,0.006879847,"Individual4",FALSE,0,0,0.006879847,TRUE,0.0393434962024912
"16374",101,0.662945277,"Individual4",FALSE,0,0,0.662945277,FALSE,0
"16375",102,0.535628304,"Individual4",FALSE,0,0,0.535628304,TRUE,0.0917476965580136
"16376",103,0.333164871,"Individual4",FALSE,0,0,0.333164871,FALSE,0
"16377",104,0.237023782,"Individual4",FALSE,0,0,0.237023782,FALSE,0
"16378",105,0.946311579,"Individual4",FALSE,0,0,0.946311579,TRUE,0.0135547952027991
"16379",106,0.73595158,"Individual4",FALSE,0,0,0.73595158,TRUE,0.0375369197456166
"16380",107,0.51871752,"Individual4",FALSE,0,0,0.51871752,FALSE,0
"16381",108,0.63192994,"Individual4",FALSE,0,0,0.63192994,FALSE,0
"16382",109,0.121079564,"Individual4",FALSE,0,0,0.121079564,TRUE,0.0302254079608247
"16383",110,0.141326274,"Individual4",FALSE,0,0,0.141326274,TRUE,0.017441955790855
